source,target
Antiochia,"Antiochus, Antiochos (misc)"
Antiochia,"Ochus, Ochos"
Antiochia,"Alexander III, the Great (general)"
Antiochia,"Heracles (s. of Zeus), Hercules"
Antiochia,"Dionysus (s. of Zeus), Bacchus"
Antiochia,Cyrus (kings of Persia)
Antiochia,Semiramis
Antiochia,"Alexander III, the Great (general)"
Antiochia,"Alexander III, the Great (general)"
Antiochia,Demodamas (geographer)
Antiochia,Seleucus I Nicator s. Antiochus
Antiochia,"Antiochus, Antiochos (misc)"
Antiochia,Apollo (s. of Zeus) (cf Phoebus)
Caucasus,"Alexander III, the Great (general)"
Caucasus,"Antiochus, Antiochos (misc)"
Caucasus,Seleucus I Nicator s. Antiochus
Caucasus,Margos
Caucasus,Orodes
Caucasus,Crassus
Caucasus,"Alexander III, the Great (general)"
Caucasus,"Antiochus, Antiochos (misc)"
Caucasus,"Ochus, Ochos"
Caucasus,"Alexander III, the Great (general)"
Caucasus,"Heracles (s. of Zeus), Hercules"
Caucasus,"Dionysus (s. of Zeus), Bacchus"
Caucasus,Cyrus (kings of Persia)
Caucasus,Semiramis
Caucasus,"Alexander III, the Great (general)"
Caucasus,"Alexander III, the Great (general)"
Caucasus,Demodamas (geographer)
Caucasus,Seleucus I Nicator s. Antiochus
Caucasus,"Antiochus, Antiochos (misc)"
Caucasus,Apollo (s. of Zeus) (cf Phoebus)
Oxus,"Alexander III, the Great (general)"
Oxus,"Antiochus, Antiochos (misc)"
Oxus,Seleucus I Nicator s. Antiochus
Oxus,Margos
Oxus,Orodes
Oxus,Crassus
Oxus,"Alexander III, the Great (general)"
Oxus,"Antiochus, Antiochos (misc)"
Oxus,"Ochus, Ochos"
Oxus,"Alexander III, the Great (general)"
Oxus,"Heracles (s. of Zeus), Hercules"
Oxus,"Dionysus (s. of Zeus), Bacchus"
Oxus,Cyrus (kings of Persia)
Oxus,Semiramis
Oxus,"Alexander III, the Great (general)"
Oxus,"Alexander III, the Great (general)"
Oxus,Demodamas (geographer)
Oxus,Seleucus I Nicator s. Antiochus
Oxus,"Antiochus, Antiochos (misc)"
Oxus,Apollo (s. of Zeus) (cf Phoebus)
Indus,"Alexander III, the Great (general)"
Indus,"Antiochus, Antiochos (misc)"
Indus,Seleucus I Nicator s. Antiochus
Indus,Margos
Indus,Orodes
Indus,Crassus
Indus,"Alexander III, the Great (general)"
Indus,"Antiochus, Antiochos (misc)"
Indus,"Ochus, Ochos"
Indus,"Alexander III, the Great (general)"
Indus,"Heracles (s. of Zeus), Hercules"
Indus,"Dionysus (s. of Zeus), Bacchus"
Indus,Cyrus (kings of Persia)
Indus,Semiramis
Indus,"Alexander III, the Great (general)"
Indus,"Alexander III, the Great (general)"
Indus,Demodamas (geographer)
Indus,Seleucus I Nicator s. Antiochus
Indus,"Antiochus, Antiochos (misc)"
Indus,Apollo (s. of Zeus) (cf Phoebus)
Panda,"Alexander III, the Great (general)"
Panda,"Antiochus, Antiochos (misc)"
Panda,Seleucus I Nicator s. Antiochus
Panda,Margos
Panda,Orodes
Panda,Crassus
Panda,"Alexander III, the Great (general)"
Panda,"Antiochus, Antiochos (misc)"
Panda,"Ochus, Ochos"
Panda,"Alexander III, the Great (general)"
Panda,"Heracles (s. of Zeus), Hercules"
Panda,"Dionysus (s. of Zeus), Bacchus"
Panda,Cyrus (kings of Persia)
Panda,Semiramis
Panda,"Alexander III, the Great (general)"
Panda,"Alexander III, the Great (general)"
Panda,Demodamas (geographer)
Panda,Seleucus I Nicator s. Antiochus
Panda,"Antiochus, Antiochos (misc)"
Panda,Apollo (s. of Zeus) (cf Phoebus)
Tanais,"Alexander III, the Great (general)"
Tanais,"Antiochus, Antiochos (misc)"
Tanais,Seleucus I Nicator s. Antiochus
Tanais,Margos
Tanais,Orodes
Tanais,Crassus
Tanais,"Alexander III, the Great (general)"
Tanais,"Antiochus, Antiochos (misc)"
Tanais,"Ochus, Ochos"
Tanais,"Alexander III, the Great (general)"
Tanais,"Heracles (s. of Zeus), Hercules"
Tanais,"Dionysus (s. of Zeus), Bacchus"
Tanais,Cyrus (kings of Persia)
Tanais,Semiramis
Tanais,"Alexander III, the Great (general)"
Tanais,"Alexander III, the Great (general)"
Tanais,Demodamas (geographer)
Tanais,Seleucus I Nicator s. Antiochus
Tanais,"Antiochus, Antiochos (misc)"
Tanais,Apollo (s. of Zeus) (cf Phoebus)
Scythia,"Alexander III, the Great (general)"
Scythia,"Varro, Marcus Varro"
Scythia,"Gn. Pompeius Magnus (Roman general), Pompey"
Scythia,"Mithridates, Mithridatic"
Scythia,"Gn. Pompeius Magnus (Roman general), Pompey"
Caucasus,"Alexander III, the Great (general)"
Caucasus,"Varro, Marcus Varro"
Caucasus,"Gn. Pompeius Magnus (Roman general), Pompey"
Caucasus,"Mithridates, Mithridatic"
Caucasus,"Gn. Pompeius Magnus (Roman general), Pompey"
Parthia,"Alexander III, the Great (general)"
Parthia,"Varro, Marcus Varro"
Parthia,"Gn. Pompeius Magnus (Roman general), Pompey"
Parthia,"Mithridates, Mithridatic"
Parthia,"Gn. Pompeius Magnus (Roman general), Pompey"
India,"Alexander III, the Great (general)"
India,"Varro, Marcus Varro"
India,"Gn. Pompeius Magnus (Roman general), Pompey"
India,"Mithridates, Mithridatic"
India,"Gn. Pompeius Magnus (Roman general), Pompey"
Oxus,"Alexander III, the Great (general)"
Oxus,"Varro, Marcus Varro"
Oxus,"Gn. Pompeius Magnus (Roman general), Pompey"
Oxus,"Mithridates, Mithridatic"
Oxus,"Gn. Pompeius Magnus (Roman general), Pompey"
India,"Alexander III, the Great (general)"
India,"Varro, Marcus Varro"
India,"Gn. Pompeius Magnus (Roman general), Pompey"
India,"Mithridates, Mithridatic"
India,"Gn. Pompeius Magnus (Roman general), Pompey"
Caspian Sea,"Alexander III, the Great (general)"
Caspian Sea,"Varro, Marcus Varro"
Caspian Sea,"Gn. Pompeius Magnus (Roman general), Pompey"
Caspian Sea,"Mithridates, Mithridatic"
Caspian Sea,"Gn. Pompeius Magnus (Roman general), Pompey"
Cyrus,"Alexander III, the Great (general)"
Cyrus,"Varro, Marcus Varro"
Cyrus,"Gn. Pompeius Magnus (Roman general), Pompey"
Cyrus,"Mithridates, Mithridatic"
Cyrus,"Gn. Pompeius Magnus (Roman general), Pompey"
Phasis,"Alexander III, the Great (general)"
Phasis,"Varro, Marcus Varro"
Phasis,"Gn. Pompeius Magnus (Roman general), Pompey"
Phasis,"Mithridates, Mithridatic"
Phasis,"Gn. Pompeius Magnus (Roman general), Pompey"
Pontus,"Alexander III, the Great (general)"
Pontus,"Varro, Marcus Varro"
Pontus,"Gn. Pompeius Magnus (Roman general), Pompey"
Pontus,"Mithridates, Mithridatic"
Pontus,"Gn. Pompeius Magnus (Roman general), Pompey"
Caspian sea,"Alexander III, the Great (general)"
Caspian sea,"Varro, Marcus Varro"
Caspian sea,"Gn. Pompeius Magnus (Roman general), Pompey"
Caspian sea,"Mithridates, Mithridatic"
Caspian sea,"Gn. Pompeius Magnus (Roman general), Pompey"
India,Chryse (d. of Almus)
India,Hecataeus of Miletus
India,Chryse (d. of Almus)
India,Hecataeus of Miletus
Emodos,Eratosthenes (scholar)
Emodos,M. Vipsanius Agrippa (ally of Augustus)
Emodos,Posidonius of Apameia (Stoic philosopher)
India,Eratosthenes (scholar)
India,M. Vipsanius Agrippa (ally of Augustus)
India,Posidonius of Apameia (Stoic philosopher)
Indus,Eratosthenes (scholar)
Indus,M. Vipsanius Agrippa (ally of Augustus)
Indus,Posidonius of Apameia (Stoic philosopher)
India,Eratosthenes (scholar)
India,M. Vipsanius Agrippa (ally of Augustus)
India,Posidonius of Apameia (Stoic philosopher)
India,Eratosthenes (scholar)
India,M. Vipsanius Agrippa (ally of Augustus)
India,Posidonius of Apameia (Stoic philosopher)
India,Eratosthenes (scholar)
India,M. Vipsanius Agrippa (ally of Augustus)
India,Posidonius of Apameia (Stoic philosopher)
Hyrcanian Sea,"Alexander III, the Great (general)"
Hyrcanian Sea,Seleucus I Nicator s. Antiochus
Hyrcanian Sea,"Antiochus, Antiochos (misc)"
Hyrcanian Sea,Patrocles (Macedonian general and geographer)
Hyrcanian Sea,Megasthenes (geographer)
Hyrcanian Sea,Dionysius (ambassador)
Hyrcanian Sea,Ptolemy II Philadelphus (king) 
Hyrcanian Sea,"Alexander III, the Great (general)"
Hyrcanian Sea,"Dionysus (s. of Zeus), Bacchus"
Hyrcanian Sea,"Alexander III, the Great (general)"
Hyrcanian Sea,"Alexander III, the Great (general)"
Hyrcanian Sea,Seneca
India,"Alexander III, the Great (general)"
India,Seleucus I Nicator s. Antiochus
India,"Antiochus, Antiochos (misc)"
India,Patrocles (Macedonian general and geographer)
India,Megasthenes (geographer)
India,Dionysius (ambassador)
India,Ptolemy II Philadelphus (king) 
India,"Alexander III, the Great (general)"
India,"Dionysus (s. of Zeus), Bacchus"
India,"Alexander III, the Great (general)"
India,"Alexander III, the Great (general)"
India,Seneca
Cos,"Alexander III, the Great (general)"
Cos,Seleucus I Nicator s. Antiochus
Cos,"Antiochus, Antiochos (misc)"
Cos,Patrocles (Macedonian general and geographer)
Cos,Megasthenes (geographer)
Cos,Dionysius (ambassador)
Cos,Ptolemy II Philadelphus (king) 
Cos,"Alexander III, the Great (general)"
Cos,"Dionysus (s. of Zeus), Bacchus"
Cos,"Alexander III, the Great (general)"
Cos,"Alexander III, the Great (general)"
Cos,Seneca
India,"Alexander III, the Great (general)"
India,Seleucus I Nicator s. Antiochus
India,"Antiochus, Antiochos (misc)"
India,Patrocles (Macedonian general and geographer)
India,Megasthenes (geographer)
India,Dionysius (ambassador)
India,Ptolemy II Philadelphus (king) 
India,"Alexander III, the Great (general)"
India,"Dionysus (s. of Zeus), Bacchus"
India,"Alexander III, the Great (general)"
India,"Alexander III, the Great (general)"
India,Seneca
India,"Alexander III, the Great (general)"
India,Seleucus I Nicator s. Antiochus
